NAME,RA,DE,SIGMA_RA,SIGMA_DE
4FGL J0000.3-7355 ,0.0983,-73.922,0.052188043,0.051319182
4FGL J0003.2+2207 ,0.8058,22.1302,0.096721284,0.08715913
4FGL J0003.3+2511 ,0.8323,25.1912,0.09983884,0.092599295
4FGL J0003.6+3059 ,0.9045,30.9898,0.080885954,0.07152918
4FGL J0004.0+5715 ,1.0017,57.2578,0.0671282,0.08486303
4FGL J0004.4-4001 ,1.1184,-40.0251,0.123158656,0.105636306
4FGL J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727
4FGL J0006.6+4618 ,1.6697,46.3046,0.06452933,0.05579798
4FGL J0008.4+6926 ,2.1072,69.4409,0.07513376,0.06389021
4FGL J0008.9+2509 ,2.2358,25.1536,0.19703275,0.25122708
4FGL J0009.1-5012 ,2.2962,-50.2107,0.15543695,0.1351326
4FGL J0009.2+6847 ,2.3045,68.7932,0.09733151,0.116129324
4FGL J0009.2+1745 ,2.3077,17.7544,0.14473198,0.11731285
4FGL J0009.7-1418 ,2.4403,-14.3045,0.09162733,0.07087562
4FGL J0017.1-4605 ,4.2973,-46.0848,0.13803506,0.107583396
4FGL J0022.0-5921 ,5.5215,-59.35,0.109060735,0.07836943
4FGL J0023.6-4209 ,5.9073,-42.1579,0.1318638,0.102434255
4FGL J0024.1+2402 ,6.0384,24.0366,0.05718627,0.052644286
4FGL J0025.4-4838 ,6.3673,-48.6386,0.07668267,0.067409344
4FGL J0026.1-0732 ,6.54,-7.5425,0.046490412,0.0472793
4FGL J0031.0-2327 ,7.7564,-23.4581,0.09487652,0.10897848
4FGL J0031.5-5648 ,7.8986,-56.8069,0.09689237,0.10458834
4FGL J0034.6+6438 ,8.6619,64.6393,0.053341515,0.047777545
4FGL J0035.2-1739 ,8.8173,-17.6621,0.050186224,0.04956
4FGL J0037.2-2653 ,9.314,-26.8927,0.11269976,0.10943887
4FGL J0039.1+6257 ,9.7862,62.9603,0.026267206,0.025941357
4FGL J0039.7+4203 ,9.9411,42.0653,0.0759919,0.086880915
4FGL J0041.3+6052 ,10.343,60.8783,0.107992634,0.08740912
4FGL J0041.7-1607 ,10.4382,-16.121,0.05151664,0.053283915
4FGL J0045.9-2021 ,11.486,-20.3654,0.049159426,0.046221223
4FGL J0046.7-7048 ,11.6806,-70.8136,0.07449991,0.071200095
4FGL J0048.6-6347 ,12.1685,-63.7914,0.05104905,0.05367014
4FGL J0052.1+6444 ,13.0433,64.742,0.06447471,0.07175411
4FGL J0055.7+4507 ,13.9397,45.1244,0.050641183,0.04447911
4FGL J0056.7-3935 ,14.1876,-39.5963,0.1543068,0.123085655
4FGL J0057.5+6814 ,14.379,68.236,0.06749048,0.07190081
4FGL J0057.9+6326 ,14.4955,63.4385,0.030479996,0.032439176
4FGL J0058.1+6915 ,14.5467,69.2608,0.07277934,0.0811289
4FGL J0058.3-4603 ,14.5904,-46.056,0.058518715,0.07459598
4FGL J0058.6-1140 ,14.65,-11.6791,0.06301521,0.057123426
4FGL J0059.4-5654 ,14.8643,-56.9089,0.062864184,0.056545082
4FGL J0102.0-6240 ,15.5091,-62.682,0.07932688,0.080638304
4FGL J0102.1+4458 ,15.5452,44.9681,0.08527502,0.07205689
4FGL J0102.3+1000 ,15.5991,10.012,0.058973696,0.057732083
4FGL J0104.6-0818 ,16.1658,-8.3125,0.12116193,0.16582513
4FGL J0110.9+4344 ,17.7264,43.7475,0.056260206,0.05506142
4FGL J0112.0+3442 ,18.0128,34.7027,0.10482502,0.08732999
4FGL J0115.4-2917 ,18.8584,-29.2934,0.051396243,0.05365638
4FGL J0116.8+6914 ,19.2022,69.2415,0.14755777,0.1223717
4FGL J0118.3-6008 ,19.5886,-60.1426,0.11090925,0.115477875
4FGL J0120.1+0505 ,20.0454,5.0911,0.094697505,0.08901598
4FGL J0120.2-7944 ,20.0572,-79.7412,0.057306163,0.06129425
4FGL J0124.6+3155 ,21.1501,31.9207,0.6550488,0.43372273
4FGL J0125.9-6303 ,21.4988,-63.056,0.06988984,0.07167049
4FGL J0126.3-6746 ,21.5898,-67.7763,0.06436827,0.053444326
4FGL J0126.8+2412 ,21.7036,24.21,0.08415941,0.08995801
4FGL J0128.2+4400 ,22.0732,44.0016,0.16919062,0.19515395
4FGL J0128.3+5710 ,22.0835,57.17,0.049319655,0.049691267
4FGL J0130.4-2129 ,22.6226,-21.4998,0.07045029,0.12477162
4FGL J0131.7-5346 ,22.9417,-53.7733,0.047113493,0.047100093
4FGL J0132.1-0956 ,23.0306,-9.9386,0.17418541,0.17049171
4FGL J0137.3-3239 ,24.3481,-32.6508,0.11791603,0.10943816
4FGL J0139.5-2228 ,24.8971,-22.4777,0.07227859,0.070567176
4FGL J0140.3+7054 ,25.0833,70.9042,0.031901743,0.034432095
4FGL J0140.5-4730 ,25.1357,-47.5047,0.0986297,0.09901123
4FGL J0142.5+6650 ,25.6275,66.8341,0.1408269,0.14308776
4FGL J0144.3+5959 ,26.0846,59.9975,0.095372856,0.090278395
4FGL J0147.7-1321 ,26.9263,-13.3662,0.1431425,0.12748301
